storeid,name,region,address,createdat
1,city mart - ny,northeast,"123 Madison Ave, New York, NY",23-07-2025 11:27
2,budget shop - la,west coast,"456 Sunset Blvd, Los Angeles, CA",23-07-2025 11:27
3,fresh bodega - tx,south,"789 Lakeview Dr, Houston, TX",23-07-2025 11:27
4,super saver - il,midwest,"101 River Rd, Chicago, IL",23-07-2025 11:27
5,sunny store - fl,southeast,"202 Ocean Dr, Miami, FL",23-07-2025 11:27
6,north value mart,northeast,"315 Lexington Ave, Albany, NY",24-07-2025 10:00
7,pacific goods,west coast,"789 Bay St, San Francisco, CA",24-07-2025 10:00
8,heartland deals,midwest,"420 Elm St, Columbus, OH",24-07-2025 10:00
9,delta mart,south,"231 Peach Ave, Atlanta, GA",24-07-2025 10:00
10,tropic market,southeast,"890 Palm Blvd, Orlando, FL",24-07-2025 10:00
11,metro market,northeast,"555 Broadway, Boston, MA",24-07-2025 10:00
12,urban essentials,west coast,"321 Vine St, Seattle, WA",24-07-2025 10:00
13,value zone,midwest,"678 Pine Ave, St. Louis, MO",24-07-2025 10:00
14,capital groceries,south,"987 Capital Dr, Austin, TX",24-07-2025 10:00
15,gulfside mart,southeast,"432 Ocean Way, Tampa, FL",24-07-2025 10:00
16,eastside express,northeast,"210 Hudson St, Newark, NJ",24-07-2025 10:00
17,west hub,west coast,"654 Hilltop Rd, Portland, OR",24-07-2025 10:00
18,central value,midwest,"312 Maple St, Milwaukee, WI",24-07-2025 10:00
19,southern supplies,south,"403 Riverwalk Blvd, Dallas, TX",24-07-2025 10:00
20,coastal depot,southeast,"222 Beach Rd, Jacksonville, FL",24-07-2025 10:00
